target	Et	a1	a2	a3	a4	a5	a6	a7	a8
Li	-8.21E-03	2.88E+04	2.00E+00	6.30E-01	-7.10E-01	3.72E+00	2.96E+00	2.80E-03	1.56E+01
Na	-8.46E-03	8.16E+04	2.00E+00	6.00E-01	-5.00E-01	3.21E+00	2.86E+00	5.40E-03	1.75E+01
Mg	-5.95E-03	4.69E+01	3.00E-01	1.50E+00	-8.50E-01	1.28E+01	3.34E+00	4.50E-03	1.00E+01
K	-9.26E-03	2.89E+05	2.00E+00	6.00E-01	4.00E-01	3.06E+00	3.66E+00	3.00E-02	1.10E+01
Ca	-7.48E-03	1.55E+04	2.00E+00	6.00E-01	-7.53E-01	4.55E+00	3.07E+00	2.00E-02	1.00E+01
Rb	-9.42E-03	4.71E+05	2.00E+00	4.50E-01	4.00E-01	2.30E+00	3.70E+00	3.00E-02	1.00E+01
Sr	-7.90E-03	1.68E+04	2.00E+00	6.00E-01	-7.50E-01	3.67E+00	2.54E+00	3.65E-02	1.00E+01
Cs	-9.70E-03	3.99E+04	1.00E+00	1.67E-01	5.00E-01	2.53E+00	2.21E+00	3.00E-02	5.00E+01
Ba	-7.79E-03	2.02E+04	2.00E+00	6.00E-01	-6.40E-01	2.88E+00	2.20E+00	3.35E-02	1.00E+01
Pb	-6.18E-03	1.75E+03	2.00E+00	1.40E+00	-6.40E-01	6.48E+00	1.95E+00	3.00E-02	1.00E+01
